day,url,author,followers,engage,polarity,intensity,confidence,signals,topic_market
2026-06-01,https://x.com/CryptoLeo68/status/2061376342575501396,CryptoLeo68,1527,178,贪婪,3,0.85,晒盈利,混合
2026-06-01,https://x.com/DYWANYBZ/status/2061412137017508071,DYWANYBZ,2044,2,恐惧,2,0.7,,混合
2026-06-01,https://x.com/Dylanbtc1/status/2061421380944679003,Dylanbtc1,9960,472,贪婪,1,0.6,喊单,美股
2026-06-01,https://x.com/EliseFolso71390/status/2061336690552455235,EliseFolso71390,10529,14,贪婪,3,0.9,喊单;晒盈利,混合
2026-06-01,https://x.com/Evavvvva/status/2061399506202353937,Evavvvva,40629,32,贪婪,2,0.8,喊单,混合
2026-06-01,https://x.com/FLS_OTC/status/2061396135357608112,FLS_OTC,102226,58,贪婪,3,0.8,喊单,混合
2026-06-01,https://x.com/Gate_Elena/status/2061376455724925106,Gate_Elena,6608,12,贪婪,2,0.9,喊单,混合
2026-06-01,https://x.com/Gate_Leisel/status/2061364628429648352,Gate_Leisel,8563,15,贪婪,2,0.9,喊单,混合
2026-06-01,https://x.com/Gate_Livezh/status/2061355901748232291,Gate_Livezh,9973,9,贪婪,2,0.9,喊单,混合
2026-06-01,https://x.com/Gate_luqingxiao/status/2061365564845736278,Gate_luqingxiao,4959,162,贪婪,2,0.9,喊单,混合
2026-06-01,https://x.com/Gate_luqingxiao/status/2061423883513901454,Gate_luqingxiao,4959,25,中性,1,0.9,喊单,美股
2026-06-01,https://x.com/HougeSol/status/2061372698060808592,HougeSol,17581,10,嘲讽反讽,3,0.9,,A股
2026-06-01,https://x.com/Jeffson772010/status/2061416744820834807,Jeffson772010,1094,8,嘲讽反讽,2,0.8,,美股
2026-06-01,https://x.com/Joedoop/status/2061371170658914410,Joedoop,1990,4,恐惧,3,0.85,,A股
2026-06-01,https://x.com/Joedoop/status/2061372015634981002,Joedoop,1990,6,恐惧,3,0.85,,A股
2026-06-01,https://x.com/LIZHIGE2026/status/2061421377543196795,LIZHIGE2026,742,4,中性,1,0.9,喊单,混合
2026-06-01,https://x.com/Lindaawrf/status/2061333600222757073,Lindaawrf,5897,56,贪婪,2,0.75,晒盈利,美股
2026-06-01,https://x.com/Lindaawrf/status/2061388284186563055,Lindaawrf,5897,116,恐惧,2,0.75,,美股
2026-06-01,https://x.com/LiuLchanga/status/2061396172548485287,LiuLchanga,52,28,恐惧,2,0.65,,A股
2026-06-01,https://x.com/MX_XYB/status/2061379360544940428,MX_XYB,16709,24,恐惧,2,0.75,,A股
2026-06-01,https://x.com/Maoborderless/status/2061381905858412668,Maoborderless,1598,71,中性,1,0.7,,美股
2026-06-01,https://x.com/Mi84614Ren/status/2061413649051500923,Mi84614Ren,553,10,中性,1,0.7,,美股
2026-06-01,https://x.com/MrRainbow_2021/status/2061334409723474398,MrRainbow_2021,218,5,嘲讽反讽,2,0.8,,A股
2026-06-01,https://x.com/NatureRuleGold/status/2061378262895620166,NatureRuleGold,2154,4,中性,1,0.6,,A股
2026-06-01,https://x.com/NicChen219/status/2061412323638866176,NicChen219,3129,1,贪婪,2,0.7,,混合
2026-06-01,https://x.com/NintendoDoomed/status/2061341066868191491,NintendoDoomed,21053,133,恐惧,3,0.85,,混合
2026-06-01,https://x.com/Nonamedexiuzi/status/2061418831588028860,Nonamedexiuzi,2041,7,贪婪,2,0.6,新韭菜入场,美股
2026-06-01,https://x.com/PWenzhen76938/status/2061364877651058773,PWenzhen76938,42533,318,贪婪,2,0.8,晒盈利;喊单,币圈
2026-06-01,https://x.com/PhyrexNi/status/2061355109339303995,PhyrexNi,396952,497,中性,1,0.75,,混合
2026-06-01,https://x.com/PhyrexNi/status/2061373194079182881,PhyrexNi,396952,133,中性,1,0.7,喊单,混合
2026-06-01,https://x.com/Print_kbar/status/2061383829080981746,Print_kbar,12395,93,恐惧,2,0.8,,A股
2026-06-01,https://x.com/Print_kbar/status/2061405017412972607,Print_kbar,12395,57,恐惧,2,0.75,,A股
2026-06-01,https://x.com/QYingzheng6671/status/2061412538169045397,QYingzheng6671,2380,2,恐惧,2,0.75,,美股
2026-06-01,https://x.com/Rita88/status/2061377796505825602,Rita88,25823,97,贪婪,2,0.9,喊单,混合
2026-06-01,https://x.com/S_daddym/status/2061412793501536280,S_daddym,138,5,嘲讽反讽,2,0.8,,A股
2026-06-01,https://x.com/TiezhuCrypto/status/2061378728253698116,TiezhuCrypto,36185,98,嘲讽反讽,2,0.75,,A股
2026-06-01,https://x.com/TraderDDDDD/status/2061392443820646412,TraderDDDDD,1013,11,恐惧,2,0.75,,混合
2026-06-01,https://x.com/Vito777_/status/2061413339973275810,Vito777_,2392,19,恐惧,2,0.7,,混合
2026-06-01,https://x.com/WW_NewsToday/status/2061372838628704530,WW_NewsToday,83,7,嘲讽反讽,2,0.75,,A股
2026-06-01,https://x.com/YomiAISlight/status/2061379729123406049,YomiAISlight,128,5,中性,1,0.75,,美股
2026-06-01,https://x.com/a2013bc/status/2061395721979670695,a2013bc,1636,10,嘲讽反讽,2,0.8,,A股
2026-06-01,https://x.com/bafeite1234/status/2061409460644675675,bafeite1234,7572,4,嘲讽反讽,1,0.6,,混合
2026-06-01,https://x.com/baibaida/status/2061333072612844006,baibaida,3607,2,恐惧,2,0.8,,A股
2026-06-01,https://x.com/billy119941/status/2061372119875826029,billy119941,1454,2,中性,1,0.6,,混合
2026-06-01,https://x.com/blockTVBee/status/2061365356862800112,blockTVBee,31208,9,中性,1,0.65,,混合
2026-06-01,https://x.com/btcbears/status/2061339629748641850,btcbears,14241,50,恐惧,2,0.6,,混合
2026-06-01,https://x.com/btclaochen/status/2061377316350287995,btclaochen,10531,39,嘲讽反讽,2,0.7,,混合
2026-06-01,https://x.com/btclaochen/status/2061413838252372007,btclaochen,10531,99,嘲讽反讽,2,0.8,,混合
2026-06-01,https://x.com/caringtank/status/2061407636252455002,caringtank,4106,105,贪婪,2,0.75,晒盈利,币圈
2026-06-01,https://x.com/cha747888/status/2061376785221320800,cha747888,3418,4,中性,1,0.7,,混合
2026-06-01,https://x.com/charlschaan/status/2061389168958439632,charlschaan,640,3,嘲讽反讽,2,0.75,,A股
2026-06-01,https://x.com/cnfinancewatch/status/2061404483880657339,cnfinancewatch,122371,46,中性,1,0.7,,美股
2026-06-01,https://x.com/cnfinancewatch/status/2061409529418641636,cnfinancewatch,122371,14,恐惧,2,0.7,,A股
2026-06-01,https://x.com/cnfinancewatch/status/2061418134947659807,cnfinancewatch,122371,8,恐惧,2,0.7,,混合
2026-06-01,https://x.com/crypto_pumpman/status/2061345640479944956,crypto_pumpman,40425,158,贪婪,2,0.85,喊单,混合
2026-06-01,https://x.com/defination_M/status/2061379176159219879,defination_M,100,7,恐惧,2,0.7,,混合
2026-06-01,https://x.com/deidararara/status/2061374514521628951,deidararara,343,1,嘲讽反讽,2,0.85,,A股
2026-06-01,https://x.com/eobfdi/status/2061402883455910220,eobfdi,3751,37,贪婪,2,0.6,晒盈利,美股
2026-06-01,https://x.com/freearkshaw/status/2061403496004690029,freearkshaw,18005,25,贪婪,2,0.75,喊单,A股
2026-06-01,https://x.com/fvxkchvma/status/2061379148229304342,fvxkchvma,183,5,嘲讽反讽,3,0.85,,美股
2026-06-01,https://x.com/hazenlee/status/2061396555836674154,hazenlee,71763,139,贪婪,2,0.8,喊单,混合
2026-06-01,https://x.com/jack19980507/status/2061417897466225108,jack19980507,8414,4,贪婪,2,0.85,喊单,A股
2026-06-01,https://x.com/jik1623763/status/2061371246009586111,jik1623763,1624,7,嘲讽反讽,3,0.85,,A股
2026-06-01,https://x.com/jiroucaigou/status/2061399864639140024,jiroucaigou,24307,391,贪婪,2,0.75,喊单,美股
2026-06-01,https://x.com/jockzhiming/status/2061408430783381670,jockzhiming,1570,3,嘲讽反讽,1,0.5,,A股
2026-06-01,https://x.com/kangke666666/status/2061406316019789828,kangke666666,178620,65,恐惧,2,0.75,,美股
2026-06-01,https://x.com/kittendong/status/2061387683130421393,kittendong,7183,31,嘲讽反讽,2,0.8,,美股
2026-06-01,https://x.com/leige2017/status/2061404222558798236,leige2017,3921,12,嘲讽反讽,2,0.8,,A股
2026-06-01,https://x.com/linqichu/status/2061382262281916789,linqichu,636,6,贪婪,2,0.7,晒盈利;喊单,A股
2026-06-01,https://x.com/linwanwan823/status/2061334969725903045,linwanwan823,40829,573,中性,1,0.7,,美股
2026-06-01,https://x.com/melmanzone/status/2061389502913052679,melmanzone,511,2,恐惧,2,0.7,,A股
2026-06-01,https://x.com/memekiller365/status/2061401615379390657,memekiller365,24268,75,贪婪,2,0.75,晒盈利,混合
2026-06-01,https://x.com/momoy917/status/2061414390394745004,momoy917,2690,9,贪婪,2,0.8,新韭菜入场;喊单,美股
2026-06-01,https://x.com/nani6886/status/2061383634607812618,nani6886,1517,13,贪婪,2,0.7,,混合
2026-06-01,https://x.com/niniSweet88/status/2061390508099039549,niniSweet88,7925,172,恐惧,2,0.8,,美股
2026-06-01,https://x.com/nitayanaaa/status/2061397445226184891,nitayanaaa,236,4,嘲讽反讽,1,0.7,,A股
2026-06-01,https://x.com/ohouhou717/status/2061385361524408324,ohouhou717,22125,177,贪婪,2,0.8,喊单,币圈
2026-06-01,https://x.com/rkL1962752/status/2061382941062959348,rkL1962752,921,3,嘲讽反讽,2,0.8,,A股
2026-06-01,https://x.com/rosesgardeners/status/2061390805638500713,rosesgardeners,730,9,嘲讽反讽,2,0.85,,A股
2026-06-01,https://x.com/rosesgardeners/status/2061392322537947200,rosesgardeners,730,8,嘲讽反讽,2,0.8,,A股
2026-06-01,https://x.com/rtsky7/status/2061406898809950684,rtsky7,2099,3,中性,1,0.65,,混合
2026-06-01,https://x.com/saury0520/status/2061351296956071958,saury0520,152,5,中性,1,0.6,,A股
2026-06-01,https://x.com/shineli1185012/status/2061350495617454196,shineli1185012,109,17,嘲讽反讽,2,0.8,,A股
2026-06-01,https://x.com/shufen46250836/status/2061371481670709737,shufen46250836,81845,318,恐惧,2,0.75,,A股
2026-06-01,https://x.com/sky27867843/status/2061416172768371003,sky27867843,13254,180,中性,1,0.6,喊单,A股
2026-06-01,https://x.com/skyguoCypherium/status/2061350182764400705,skyguoCypherium,28511,8,贪婪,2,0.75,晒盈利;喊单,美股
2026-06-01,https://x.com/wufantouzi/status/2061373251301888413,wufantouzi,132398,186,贪婪,2,0.75,喊单,A股
2026-06-01,https://x.com/xianzhe9527/status/2061418402733085051,xianzhe9527,17447,3,中性,1,0.6,喊单,混合
2026-06-01,https://x.com/xianzhe9527/status/2061419775189000673,xianzhe9527,17447,163,贪婪,2,0.65,喊单,A股
2026-06-01,https://x.com/xiaoshunli/status/2061408198494658798,xiaoshunli,41298,123,贪婪,3,0.8,,币圈
2026-06-01,https://x.com/xixikawaii/status/2061411589136535907,xixikawaii,34885,303,嘲讽反讽,2,0.8,,混合
2026-06-01,https://x.com/xkoao58652112/status/2061353077232574918,xkoao58652112,1599,2,贪婪,1,0.8,喊单,混合
2026-06-01,https://x.com/xqt1688/status/2061416224958079130,xqt1688,20003,3,嘲讽反讽,1,0.6,,A股
2026-06-01,https://x.com/yyds123888/status/2061365094714691854,yyds123888,131177,140,贪婪,2,0.85,喊单,混合
2026-06-01,https://x.com/z0072024/status/2061349432831115298,z0072024,40685,3,嘲讽反讽,2,0.8,,A股
2026-06-01,https://x.com/zhangdm8/status/2061383528336736414,zhangdm8,18448,77,贪婪,1,0.8,喊单,币圈
2026-06-02,https://x.com/0xBeyondLee/status/2061836281819345146,0xBeyondLee,41514,431,贪婪,1,0.65,喊单,混合
2026-06-02,https://x.com/0xBinray/status/2061835855388635175,0xBinray,143,4,恐惧,2,0.7,,币圈
2026-06-02,https://x.com/0xYukiRabbit/status/2061829493912682870,0xYukiRabbit,36825,22,嘲讽反讽,2,0.8,晒盈利,混合
2026-06-02,https://x.com/AlexRen_27/status/2061827936765026785,AlexRen_27,2127,6,中性,1,0.7,,混合
2026-06-02,https://x.com/Awsomefo/status/2061825206977781838,Awsomefo,38108,48,中性,1,0.6,,A股
2026-06-02,https://x.com/Goupenguin/status/2061819372868677961,Goupenguin,69072,81,贪婪,2,0.85,喊单,混合
2026-06-02,https://x.com/InfiCheesy/status/2061826038314021130,InfiCheesy,10295,138,中性,1,0.55,喊单,混合
2026-06-02,https://x.com/Jackyi_ld/status/2061820692690284748,Jackyi_ld,77986,453,恐惧,1,0.65,,混合
2026-06-02,https://x.com/LuYao_Trader/status/2061836877716660288,LuYao_Trader,91995,42,贪婪,2,0.7,喊单,混合
2026-06-02,https://x.com/Mr_qiang777/status/2061838737408131367,Mr_qiang777,16080,49,贪婪,3,0.9,喊单;晒盈利,混合
2026-06-02,https://x.com/NintendoDoomed/status/2061831178785792194,NintendoDoomed,21053,30,贪婪,2,0.75,喊单,币圈
2026-06-02,https://x.com/North0508/status/2061823173503619377,North0508,5409,30,恐惧,2,0.7,,币圈
2026-06-02,https://x.com/OdailyChina/status/2061823120462459024,OdailyChina,72969,16,中性,1,0.6,,币圈
2026-06-02,https://x.com/PanjaJavid/status/2061828346124890605,PanjaJavid,2653,13,贪婪,2,0.9,喊单,A股
2026-06-02,https://x.com/Salmonbro/status/2061838817011593725,Salmonbro,12128,14,恐惧,2,0.75,,A股
2026-06-02,https://x.com/Xynet2021/status/2061833811311333493,Xynet2021,457,2,中性,1,0.2,,混合
2026-06-02,https://x.com/aiwangupiao/status/2061825732150776233,aiwangupiao,109006,118,贪婪,2,0.75,喊单,混合
2026-06-02,https://x.com/bixiaochao/status/2061819102491230429,bixiaochao,31670,360,贪婪,2,0.9,喊单,混合
2026-06-02,https://x.com/charles48011843/status/2061833376756297952,charles48011843,132296,99,贪婪,2,0.85,喊单,混合
2026-06-02,https://x.com/cnfinancewatch/status/2061822758062026786,cnfinancewatch,122371,3,中性,1,0.85,,A股
2026-06-02,https://x.com/fkscamlee/status/2061824472051855798,fkscamlee,1417,69,嘲讽反讽,2,0.8,,混合
2026-06-02,https://x.com/laodi888/status/2061826805473137112,laodi888,29902,138,贪婪,2,0.9,喊单,混合
2026-06-02,https://x.com/libukai/status/2061836864903053749,libukai,7791,6,中性,1,0.3,,混合
2026-06-02,https://x.com/lizx8964/status/2061827252300468394,lizx8964,108,3,嘲讽反讽,2,0.7,,混合
2026-06-02,https://x.com/simu6668888/status/2061823196928823806,simu6668888,29067,6,贪婪,2,0.75,新韭菜入场,A股
2026-06-02,https://x.com/simu6668888/status/2061823691122737411,simu6668888,29067,8,贪婪,3,0.85,新韭菜入场,A股
2026-06-02,https://x.com/simu6668888/status/2061824571972665480,simu6668888,29067,8,恐惧,2,0.75,,A股
2026-06-02,https://x.com/simu6668888/status/2061825055940886637,simu6668888,29067,5,贪婪,2,0.7,,A股
2026-06-02,https://x.com/ssovoovo/status/2061823216029765964,ssovoovo,30034,98,贪婪,2,0.9,喊单,混合
2026-06-02,https://x.com/taozi0929/status/2061832443959865725,taozi0929,49462,165,贪婪,2,0.9,喊单;新韭菜入场,混合
2026-06-02,https://x.com/yanp1205/status/2061835218131296287,yanp1205,23,7,嘲讽反讽,2,0.7,,混合
2026-06-03,https://x.com/0xBeyondLee/status/2062129753784815618,0xBeyondLee,41514,140,贪婪,2,0.75,,美股
2026-06-03,https://x.com/0xDeliveryman/status/2062168060031816017,0xDeliveryman,311,3,中性,1,0.5,,混合
2026-06-03,https://x.com/0xKevin00/status/2062159344456880631,0xKevin00,70292,83,贪婪,1,0.55,,美股
2026-06-03,https://x.com/0xLige/status/2062170799008866501,0xLige,65538,96,贪婪,2,0.85,喊单,混合
2026-06-03,https://x.com/0xSanei/status/2062156730574987630,0xSanei,181,15,贪婪,2,0.8,喊单,混合
2026-06-03,https://x.com/0xTiga_H/status/2062184458212827235,0xTiga_H,12435,73,贪婪,2,0.85,喊单,混合
2026-06-03,https://x.com/0xXiaoXiong/status/2062130588497186985,0xXiaoXiong,25839,75,贪婪,2,0.85,喊单,混合
2026-06-03,https://x.com/0xbiying/status/2062147550061449418,0xbiying,10497,77,贪婪,1,0.8,喊单,混合
2026-06-03,https://x.com/0xchal/status/2062192114591777175,0xchal,9449,54,嘲讽反讽,2,0.6,,美股
2026-06-03,https://x.com/0xchubai/status/2062161886553198715,0xchubai,9203,144,贪婪,1,0.75,喊单,混合
2026-06-03,https://x.com/1YES_yes1/status/2062146901517181094,1YES_yes1,63660,76,贪婪,1,0.8,喊单,混合
2026-06-03,https://x.com/AAXX8786/status/2062158043517988961,AAXX8786,295,2,嘲讽反讽,2,0.7,,混合
2026-06-03,https://x.com/ABQQkg/status/2062170625993736256,ABQQkg,3342,5,嘲讽反讽,2,0.7,,混合
2026-06-03,https://x.com/AStockLink/status/2062165035489890742,AStockLink,5438,2,贪婪,2,0.7,喊单,A股
2026-06-03,https://x.com/Agujiaofu/status/2062179353178361872,Agujiaofu,30228,50,贪婪,2,0.6,喊单,A股
2026-06-03,https://x.com/Aw3ff_/status/2062146127949140474,Aw3ff_,36854,44,恐惧,2,0.7,,A股
2026-06-03,https://x.com/BMCJ888/status/2062143770574110927,BMCJ888,16176,67,中性,1,0.7,,A股
2026-06-03,https://x.com/BONIU888/status/2062175331306672584,BONIU888,15310,30,贪婪,2,0.8,喊单,混合
2026-06-03,https://x.com/Bqlsj2023/status/2062126711127633931,Bqlsj2023,140484,55,嘲讽反讽,3,0.9,,混合
2026-06-03,https://x.com/CryptoUKong/status/2062176566604632295,CryptoUKong,49569,171,贪婪,2,0.85,喊单,混合
2026-06-03,https://x.com/Cryptobaofu/status/2062192202709946626,Cryptobaofu,89667,106,贪婪,2,0.85,喊单,混合
2026-06-03,https://x.com/DigitalNomadLC/status/2062129435130892647,DigitalNomadLC,5311,7,贪婪,1,0.85,喊单,美股
2026-06-03,https://x.com/Dragonhau66/status/2062187267507053003,Dragonhau66,18429,14,恐惧,3,0.8,,币圈
2026-06-03,https://x.com/Eth527/status/2062144068306780550,Eth527,40151,22,贪婪,2,0.85,喊单;晒盈利,混合
2026-06-03,https://x.com/FinTax_lab/status/2062147528439787585,FinTax_lab,1667,7,中性,1,0.7,,混合
2026-06-03,https://x.com/Geight16/status/2062125999849144760,Geight16,15922,3,嘲讽反讽,2,0.8,,混合
2026-06-03,https://x.com/HiCryptoIA/status/2062123644902625513,HiCryptoIA,2563,3,嘲讽反讽,2,0.85,,A股
2026-06-03,https://x.com/JinYu762/status/2062149978320191535,JinYu762,10941,60,贪婪,2,0.85,喊单,混合
2026-06-03,https://x.com/Jonesun252779/status/2062184127403790413,Jonesun252779,1910,42,嘲讽反讽,2,0.7,,A股
2026-06-03,https://x.com/LuBtc888/status/2062108781815747071,LuBtc888,82774,93,中性,1,0.5,,混合
2026-06-03,https://x.com/Maoborderless/status/2062138928342393093,Maoborderless,1598,40,贪婪,2,0.85,喊单,混合
2026-06-03,https://x.com/Maxwell_SCU/status/2062130190952878322,Maxwell_SCU,12870,7,中性,1,0.5,,A股
2026-06-03,https://x.com/Meta8Mate/status/2062148622549127665,Meta8Mate,107745,31,贪婪,2,0.85,喊单,混合
2026-06-03,https://x.com/MinRen89217/status/2062152462791004380,MinRen89217,29,4,嘲讽反讽,2,0.85,,A股
2026-06-03,https://x.com/MoYU_7777/status/2062183775589818385,MoYU_7777,27902,62,投降,2,0.6,,币圈
2026-06-03,https://x.com/PWenzhen76938/status/2062125375250161979,PWenzhen76938,42533,202,贪婪,1,0.65,喊单,混合
2026-06-03,https://x.com/PWenzhen76938/status/2062139475162231292,PWenzhen76938,42533,235,贪婪,1,0.8,喊单,混合
2026-06-03,https://x.com/Pence0629/status/2062164757768200402,Pence0629,4023,109,中性,1,0.6,,美股
2026-06-03,https://x.com/Print_kbar/status/2062165039130554788,Print_kbar,12395,31,恐惧,2,0.6,,A股
2026-06-03,https://x.com/Print_kbar/status/2062195823610565018,Print_kbar,12395,7,恐惧,1,0.5,,混合
2026-06-03,https://x.com/Renee7eth/status/2062150685240729870,Renee7eth,8311,35,贪婪,2,0.85,喊单,混合
2026-06-03,https://x.com/RichardLu518087/status/2062164395619455455,RichardLu518087,73,2,中性,1,0.5,,混合
2026-06-03,https://x.com/Richardli2021/status/2062182956572221533,Richardli2021,388,19,嘲讽反讽,2,0.8,,A股
2026-06-03,https://x.com/RobinJa14978932/status/2062165522335371550,RobinJa14978932,37644,63,贪婪,2,0.85,喊单,混合
2026-06-03,https://x.com/S7i5FV0JOz6sV3A/status/2062133680743616772,S7i5FV0JOz6sV3A,101826,4,嘲讽反讽,2,0.6,,A股
2026-06-03,https://x.com/VentLane/status/2062161531547385881,VentLane,6743,126,中性,1,0.6,,美股
2026-06-03,https://x.com/VonJu0/status/2062114897526444351,VonJu0,2857,6,嘲讽反讽,2,0.6,,A股
2026-06-03,https://x.com/Web3xiaomei/status/2062117840896110621,Web3xiaomei,6508,1308,嘲讽反讽,2,0.7,,美股
2026-06-03,https://x.com/Wenjian730/status/2062183610099397035,Wenjian730,33,2,嘲讽反讽,2,0.6,,A股
2026-06-03,https://x.com/Wisper363/status/2062119382617137646,Wisper363,173,8,嘲讽反讽,2,0.75,,A股
2026-06-03,https://x.com/Xiaoniu6161/status/2062186269963390988,Xiaoniu6161,181322,8,中性,1,0.6,,美股
2026-06-03,https://x.com/YouTiaoFinance/status/2062197769738060185,YouTiaoFinance,27882,2,中性,1,0.5,,A股
2026-06-03,https://x.com/Zh_Crypto517/status/2062117077809615293,Zh_Crypto517,12659,71,中性,1,0.6,喊单,混合
2026-06-03,https://x.com/Zhouqi2013/status/2062170425879412829,Zhouqi2013,17758,5,嘲讽反讽,2,0.6,,混合
2026-06-03,https://x.com/aiwangupiao/status/2062141390654701979,aiwangupiao,109006,188,贪婪,1,0.6,喊单,A股
2026-06-03,https://x.com/allen5951/status/2062131213134180391,allen5951,6550,2,嘲讽反讽,2,0.85,,A股
2026-06-03,https://x.com/andylawian/status/2062142664385220801,andylawian,7701,27,中性,1,0.7,,A股
2026-06-03,https://x.com/antiAIvo/status/2062105685563986272,antiAIvo,19549,6,中性,1,0.7,,A股
2026-06-03,https://x.com/anymose/status/2062149814138339579,anymose,30758,65,贪婪,2,0.7,新韭菜入场,混合
2026-06-03,https://x.com/beidouqixi/status/2062195051309248654,beidouqixi,43428,112,贪婪,2,0.85,喊单,混合
2026-06-03,https://x.com/biquanliergou/status/2062168793548534067,biquanliergou,26979,90,贪婪,2,0.85,喊单,混合
2026-06-03,https://x.com/bitcoiners9888/status/2062194060425896237,bitcoiners9888,2104,78,中性,1,0.7,,美股
2026-06-03,https://x.com/btc_jx/status/2062117367879229466,btc_jx,626200,359,中性,1,0.55,,混合
2026-06-03,https://x.com/caicai1953/status/2062138678072545504,caicai1953,18570,112,贪婪,2,0.9,喊单,混合
2026-06-03,https://x.com/ccmfil800/status/2062169804870660519,ccmfil800,1806,3,贪婪,2,0.85,喊单,混合
2026-06-03,https://x.com/cerinamroth123/status/2062106377909096607,cerinamroth123,49,2,中性,1,0.4,,A股
2026-06-03,https://x.com/chachadawang/status/2062113745266933912,chachadawang,3353,3,嘲讽反讽,2,0.8,,混合
2026-06-03,https://x.com/chachadawang/status/2062113811902218646,chachadawang,3353,3,嘲讽反讽,2,0.85,,混合
2026-06-03,https://x.com/cjen1183476/status/2062156678318219412,cjen1183476,1216,8,嘲讽反讽,2,0.6,,混合
2026-06-03,https://x.com/cnfinancewatch/status/2062137215803871688,cnfinancewatch,122371,6,中性,1,0.85,,A股
2026-06-03,https://x.com/cnfinancewatch/status/2062137785163846063,cnfinancewatch,122371,8,中性,1,0.85,,A股
2026-06-03,https://x.com/cnfinancewatch/status/2062151695799574986,cnfinancewatch,122371,83,中性,1,0.8,,A股
2026-06-03,https://x.com/crypto_Abao/status/2062173809168498976,crypto_Abao,8018,28,中性,1,0.5,,混合
2026-06-03,https://x.com/cryptolinda777/status/2062164467883061373,cryptolinda777,15790,356,贪婪,2,0.85,喊单,混合
2026-06-03,https://x.com/dashen9999/status/2062153325303275981,dashen9999,7501,5,中性,1,0.5,,混合
2026-06-03,https://x.com/ehabiaojie/status/2062189205372182581,ehabiaojie,1173,5,嘲讽反讽,2,0.85,,A股
2026-06-03,https://x.com/fan128168/status/2062150822306464137,fan128168,13247,117,贪婪,2,0.85,喊单,混合
2026-06-03,https://x.com/fangyulonger/status/2062127060307562629,fangyulonger,38,8,恐惧,2,0.7,,混合
2026-06-03,https://x.com/fly2_1M/status/2062184157984473296,fly2_1M,4709,2,中性,1,0.6,,混合
2026-06-03,https://x.com/flyiiawei/status/2062177950016180521,flyiiawei,40400,13,贪婪,2,0.85,喊单,混合
2026-06-03,https://x.com/freearkshaw/status/2062132288637579771,freearkshaw,18005,48,中性,1,0.65,,A股
2026-06-03,https://x.com/grgerwcwetwet/status/2062138448379871676,grgerwcwetwet,110005,901,中性,1,0.7,,混合
2026-06-03,https://x.com/hellosuoha/status/2062171473817784707,hellosuoha,178096,29,嘲讽反讽,1,0.5,,混合
2026-06-03,https://x.com/hooe9212/status/2062187069099942327,hooe9212,30854,178,贪婪,2,0.8,喊单;新韭菜入场,混合
2026-06-03,https://x.com/i_m_m_/status/2062170133460885832,i_m_m_,23768,101,贪婪,2,0.85,喊单,混合
2026-06-03,https://x.com/interjc/status/2062191988682928532,interjc,30978,2746,嘲讽反讽,2,0.7,,美股
2026-06-03,https://x.com/invisibleturf/status/2062130355046580425,invisibleturf,17,3,中性,1,0.5,,混合
2026-06-03,https://x.com/jiamihui/status/2062189639394590800,jiamihui,41566,92,贪婪,2,0.8,喊单,混合
2026-06-03,https://x.com/jsjdn7cpr/status/2062141461110649330,jsjdn7cpr,7,1,嘲讽反讽,1,0.5,,A股
2026-06-03,https://x.com/kaisun55704098/status/2062186088404521287,kaisun55704098,13144,27,恐惧,2,0.7,,币圈
